review,clean_review,rating,date,year_month
"역사를 잊고 살아갈 순 없습니다.
정작 읽어야할 사람들은 안 읽는 것 같네요.","역사 잊고 살아갈 순 없습니다 . 
 정작 읽어 야할 사람 안 읽는 같네요 .",4,2023-05-16,2023-05
이 책을 읽기 전과 후의 저는 다른 사람인 것 같습니다,책 읽기 전과 후의 다른 사람인 같습니다,4,2021-11-16,2021-11
"양장으로 나와서 소장용으로 샀어요
이 글에 제가 뭐라고 리뷰를 달겠어요 누구나 한번은 꼭 읽어보셨으면","양장 나와서 소 장용 샀어요 
 글 뭐라고 리뷰 달겠어요 누구 나 한번 꼭 읽어 보셨으면",4,2024-10-08,2024-10
역사를 알고 있어야 아픈 역사를 또 만들지 않을것이다..,역사 알 고 있어야 아픈 역사 만들지 않을것이다,4,2021-11-16,2021-11
읽고나서 늪속에 빠진 기분이였어요.너무도 좋은책이에요,읽고나서 늪속 빠진 기분 였어요 . 너무도 좋은 책 이에요,4,2017-10-21,2017-10
"다시 읽어보려고 주문합니다
수상 축하드려요!","읽어 보려고 주문 
 수상 축하 드려요 !",4,2024-10-10,2024-10
잊지 말아야 할 역사,잊지 말아야 할 역사,4,2022-01-18,2022-01
이 책을 지난달에 구매한 나 자신을 칭찬합니다 ㅎㅎ,책 지난달 구매 나 자신 칭찬,4,2024-10-11,2024-10
민주주의와 자유는 피로 성취한것,민주주의 자유 피로 성취,4,2024-08-22,2024-08
페이지를 넘기는 매 순간이 마음 아프지만 그래도 더 많은 사람들이 읽었으면,페이지 넘기는 매 순간 마음 아프지만 그래도 많은 사람 읽었으면,4,2022-01-09,2022-01
한강 작가님이 노벨문학상 후보에 오르셨다는 소식을 접하고 책을 구매했는데 상을 받게 되셨다는 소식까지 들어사 너무 기쁘네요!,한강 작가 님 노벨문학상 후보 오르셨다는 소식 접 책 구매 했는데 상 받게 되셨다는 소식 들어사 기쁘네요 !,4,2024-10-11,2024-10
돌아오지 않는 그 여름과 당신,돌아오지 않는 여름 당신,4,2016-07-24,2016-07
세계에 518의 참상을 알려주셔서 감사합니다.,세계 518 참상 알려주셔서 감사합니다 .,4,2024-10-14,2024-10
"역시 유명 작가의 글은 다르네요.
일반 소설 책에서는 볼 수없는 범상함에 감탄사가 절로 나왔습니다. 누구나 알고 있는 5.18 얘기를 이렇게 다른 시선으로 홀릴수 있나요?","역시 유명 작가 글 다르네요 . 
 일반 소설 책 에서는 볼 없는 범상함에 감탄사 절로 나왔습니다 . 누구 나 알 고 있는 5.18 얘기 이렇게 다른 시선 홀릴수 있나요 ?",4,2024-09-22,2024-09
읽으면서 펑펑 운 소설입니다 정말 추천해요,읽으면서 펑펑 운 소설 추천 해요,4,2024-02-16,2024-02
한강 작가 글은 ..모두 좋습니다. 특히 이 책은 더 강렬하네요..,한강 작가 글 모두 좋습니다 . 특히 책 강렬하네요,4,2019-08-09,2019-08
"추천합니다
한강 작품중 가장 좋아요","추천 
 한강 작품 중 가장 좋아요",4,2016-02-21,2016-02
