review,clean_review,rating,date,year_month
내가 지금 누리는 것들이 누구의 목숨값인줄도 모르고 웃고 사는 게 한심하고 수치스럽다.,내 지금 누리는 누구 목숨 값 인 줄 모르고 웃고 사는 게 한심하고 수치 스럽다 .,5,2019-04-24,2019-04
나의 자유가 소중하다면 모두가 보아야할 책.,나 자유 소중하다면 모두 보아 야할 책 .,5,2019-06-24,2019-06
그날의 광주를 이제야 재대로 알아차린 것 같아 그곳을 지키려한 사람들에게 많이 미안합니다.,그날 광주 이제야 재 대로 알아차린 같아 곳 지키려 사람 미안합니다 .,5,2019-11-22,2019-11
내 영혼도 난도질 당하는 느낌이었다. 그래도 외면하지 않고 똑바로 봐야한다,내 영혼 난도질 당하는 느낌이었다 . 그래도 외면 하지 않고 똑바로 봐 야한다,5,2022-03-11,2022-03
가슴 아픈 그러나 잊지 말아야하는 이야기,가슴 아픈 잊지 말아야하는 이야기,5,2019-01-03,2019-01
"소설이지만 생생한 역사 기록같다. 
기억해야 할 아픔의 역사를 외면해 온 내게 첫 걸음을",소설 이지만 생생한 역사 기록 같다 . 기억 해야 할 아픔 역사 외면 해 온 내게 첫 걸음,5,2019-11-17,2019-11
더이상 속고 싶지 않다면 이 책을 읽는 게 어떨까.,이상 속 고 싶지 않다면 책 읽는 게 어떨까 .,5,2019-02-08,2019-02
글이 너무 아파서 읽다가 멈추고 정신차리고 다시 읽었던 책이네요,글 아파서 읽다가 멈추고 정신차리고 읽었던 책 이네 요,5,2024-10-11,2024-10
노벨상 축하드립니다 평생 책을안보던 제가 한강님 책은 봐야될거 같다는 생각이 드네요,노벨상 축하 드립니다 평생 책 안 보던 한강 님 책 봐야 될거 같다는 생각 드네 요,5,2024-10-11,2024-10
여전히 이 슬픈 역사의 무게에 겁을 먹고 유치하게 비겁하게 조롱하는 사람이 있다.,여전히 슬픈 역사 무게 겁 먹고 유치하게 비겁하게 조롱 사람 있다 .,5,2024-10-11,2024-10
모두가 한번쯤은 읽어야하는 책이라고 생각합니다,모두 한번 쯤 읽어 야하는 책 이라고 생각,5,2021-07-16,2021-07
가슴은 아리고 눈에선 눈물만 주륵주륵,가슴 아리 고 눈 에선 눈물 주륵주륵,5,2018-09-05,2018-09
우리 모두가 꼭 읽어야할 필독서. 광주에 빚진 사람으로서 어떻게 살아야하는가?,모두 꼭 읽어 야할 필독 서 . 광주 빚진 사람 으로서 어떻게 살아야하는가 ?,5,2022-12-08,2022-12
읽으면서 너무 힘들었지만.. 그 마음조차 죄스러웠다,읽으면서 힘들었지만 마음 조차 죄 스러웠다,5,2018-07-03,2018-07
"양심. 
그래요, 양심.
세상에서 제일 무서운게 그겁니다.","양심 . 그래요 , 양심 . 
 세상 제일 무서운게 겁니다 .",5,2024-10-11,2024-10
우리는 모두 광주에 빚을 지고 있다.,모두 광주 빚 지고 있다 .,5,2024-10-20,2024-10
전두환 개새끼가.....,전두환 개새끼 .....,5,2024-10-22,2024-10
읽어내기 힘듭니다. 그러나 읽어내야 합니다. 힘든것 조차 사치이니까요.,읽어내기 힘듭니다 . 읽어내야 . 힘든것 조차 사치 이니까 요 .,5,2024-10-20,2024-10
읽기까지 한참을 망설인 소설. 그럼에도 읽기를 잘했다고 생각한 소설.,읽기까지 한참 망설인 소설 . 그럼에도 읽기를 했다고 생각 소설 .,5,2023-10-03,2023-10
"잊지 말아야 할 역사, 민주주의를 자신의 손으로 쟁취한 국민들의 아픔.","잊지 말아야 할 역사 , 민주주의 자신 손 쟁취 국민 아픔 .",5,2024-10-11,2024-10
우리는 모두 빚진자들임을 깨닫게 해준 책이었습니다.,모두 빚 진자 들임을 깨닫게 해준 책 이었습니다 .,5,2024-05-17,2024-05
무슨이야길 하고 싶은건지..답답하다 시점도 화자도 엉망 독자생각은 없는 개인 일기일뿐,무슨 이야 길 싶은 건지 답답하다 시점 화 자도 엉망 독자 생각 없는 개인 일 기일 뿐,1,2017-01-30,2017-01
눈물은 기본..분노도 기본..잊지말아야할 역사를 소홀했나싶은 자책..필독서 권장합니다,눈물 기본 분노 기본 잊지말아야 할 역사 소홀했나싶은 자책 필독 서 권장,5,2018-07-17,2018-07
다시는 일어나지 않아야 할 일이 2024년에도일어나다니....화가나고 슬픕니다..,다시는 일어나지 않아야 할 일이 2024년 에도일어나다니 .... 화가 나고 슬픕니다,5,2024-12-05,2024-12
이보다  명백하고 또렷하게 5.18을 담아낼수 있을까?,이보 명백하고 또렷하게 5.18 담아 낼수 있을까 ?,5,2024-10-17,2024-10
작가님 노벨문학상 축하드립니다!!!!,작가 님 노벨문학상 축하 드립니다 !!!!,5,2024-10-11,2024-10
가해자가 고통스럽게 죽었어야했는데…,가해자 고통 스럽게 죽었어야 했는데,5,2023-08-13,2023-08
읽기 힘들만큼 가슴이 아렸던 책,읽기 힘들만큼 가슴 아렸던 책,5,2019-05-01,2019-05
"감사합니다 
기억해주셔서,기억하게 해주셔서","감사합니다 기억 해주셔서 , 기억 해주셔서",5,2024-10-19,2024-10
이 비극이 시간이 흘러 아무것도 아닌 것처럼 되지 않도록 하는게 문학의 힘입니다.,비극 시간 흘러 아무 아닌 되지 않도록 하는게 문학 힘 .,5,2024-10-14,2024-10
"그날의 광주를 이제야 마주한 느낌
동호와 그날 그곳을 지켰던 사람들에게 미안한 마음이 든다","그날 광주 이제야 마주 느낌 
 동호 그날 곳 지켰던 사람 미안한 마음 든다",5,2019-11-03,2019-11
왜 민주주의는 피를 먹고 자라야 하는지 가슴 아픕니다.,왜 민주주의 피 먹고 자라야 하는지 가슴 아픕니다 .,5,2025-01-11,2025-01
이 책 읽었는데 갑자기 현실 계엄령 발표해서 너무 무서웠네요. 책은 진짜 꼭 읽어보세요.,책 읽었는데 갑자기 현실 계엄령 발표 무서웠네요 . 책 진짜 꼭 읽어 보세요 .,5,2024-12-05,2024-12
마음이  먹먹해서 몆 번을 덮다폈다 하게 한 책입니다,마음 먹 먹 몆 번 덮다 폈다 책,5,2024-10-11,2024-10
